symptom,pref_label,meddra_code,soc
Product dose omission issue,Product dose omission issue,10084406,"Injury, poisoning and procedural complications"
Feeling drunk,Feeling drunk,10016330,General disorders and administration site conditions
SARS-CoV-2 antibody test positive,SARS-CoV-2 antibody test positive,10084491,Investigations
Pulse absent,Pulse absent,10037469,Investigations
Head injury,Head injury,10019196,"Injury, poisoning and procedural complications"
Skin reaction,Skin reaction,10040914,Skin and subcutaneous tissue disorders
Cardiac ablation,Cardiac ablation,10059864,Surgical and medical procedures
Blood thyroid stimulating hormone abnormal,Blood thyroid stimulating hormone abnormal,10005830,Investigations
Lyme carditis,Lyme carditis,10078417,Cardiac disorders
Milk allergy,Milk allergy,10027633,Immune system disorders
Injection site erythema,Injection site erythema,10022061,Skin and subcutaneous tissue disorders
Vaccination site irritation,Vaccination site irritation,10069479,"Injury, poisoning and procedural complications"
Trigger points,Trigger points,10087554,Musculoskeletal and connective tissue disorders
Congenital absence of bile ducts,Congenital absence of bile ducts,10010317,"Congenital, familial and genetic disorders"
Diabetic neuropathy,Diabetic neuropathy,10012680,Nervous system disorders
Gingival discomfort,Gingival discomfort,10077854,Gastrointestinal disorders
Injection site reaction,Injection site reaction,10022095,"Injury, poisoning and procedural complications"
X-ray of pelvis and hip,X-ray of pelvis and hip,10048159,Investigations
Epstein-Barr virus antibody negative,Epstein-Barr virus antibody negative,10053818,Investigations
Platelet count decreased,Platelet count decreased,10035528,Investigations
Incoherent,Incoherent,10021630,Nervous system disorders
Blood glucose,Blood glucose,10005553,Investigations
Irritable bowel syndrome,Irritable bowel syndrome,10023003,Infections and infestations
Spinal stenosis,Spinal stenosis,10082214,Nervous system disorders
Localised infection,Localised infection,10024774,Infections and infestations
Carbon dioxide decreased,Carbon dioxide decreased,10007223,Investigations
Blood immunoglobulin E increased,Blood immunoglobulin E increased,10005591,Investigations
Bladder disorder,Bladder disorder,10061011,Renal and urinary disorders
Antibody test,Antibody test,10060979,Investigations
Sleep deficit,Sleep deficit,10080881,Nervous system disorders
Device malfunction,Device malfunction,10063829,Product issues
Typhus rickettsia test,Typhus rickettsia test,10070404,Investigations
Aspiration pleural cavity,Aspiration pleural cavity,10003522,Investigations
Meningioma,Meningioma,10027191,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
pH urine normal,pH urine normal,10034797,Investigations
Gestational hypertension,Gestational hypertension,10070538,Vascular disorders
Mitral valve incompetence,Mitral valve incompetence,10027727,Cardiac disorders
Scrotal oedema,Scrotal oedema,10039755,Reproductive system and breast disorders
Montreal cognitive assessment abnormal,Montreal cognitive assessment abnormal,10084205,Investigations
Hepatitis A,Hepatitis A,10019719,Infections and infestations
Mastitis,Mastitis,10026883,Infections and infestations
Rash macular,Rash macular,10037867,Skin and subcutaneous tissue disorders
Red blood cell count,Red blood cell count,10038150,Investigations
Nerve stimulation test,Nerve stimulation test,10029191,Investigations
Gastrointestinal examination,Gastrointestinal examination,10068978,Investigations
Blood culture negative,Blood culture negative,10005486,Investigations
Anal pruritus,Anal pruritus,10068172,Gastrointestinal disorders
X-ray limb,X-ray limb,10061585,Investigations
Mood altered,Mood altered,10027940,Psychiatric disorders
